date,NH투자증권
2021-05-12,0.4643933333333333
2021-05-13,0.37942666666666663
2021-05-14,0.7631900000000001
2021-05-15,0.3222533333333333
2021-05-16,0.61613
2021-05-17,0.6020733333333333
2021-05-18,0.4349833333333332
2021-05-19,0.39838000000000007
2021-05-20,0.44165999999999983
2021-05-21,0.37166
2021-05-22,0.20135333333333333
2021-05-23,0.2672866666666666
2021-05-24,0.40699666666666656
2021-05-25,0.6578733333333333
2021-05-26,0.4856866666666665
2021-05-27,0.44211333333333325
2021-05-28,0.3743033333333334
2021-05-29,0.24717000000000003
2021-05-30,0.1886233333333334
2021-05-31,0.4450766666666667
2021-06-01,0.3913399999999999
2021-06-02,0.5343666666666667
2021-06-03,0.5412199999999999
2021-06-04,0.32384999999999997
2021-06-05,0.26282
2021-06-06,0.1084933333333333
2021-06-07,0.5085933333333332
2021-06-08,0.24589000000000005
2021-06-09,0.3580566666666666
2021-06-10,0.41153666666666655
2021-06-11,0.3899966666666666
2021-06-12,0.09292333333333334
2021-06-13,0.3156366666666667
2021-06-14,0.2064066666666667
2021-06-15,0.29578666666666664
2021-06-16,0.4160466666666667
2021-06-17,0.38799333333333325
2021-06-18,0.28269
2021-06-19,0.24584666666666669
2021-06-20,0.2860533333333334
2021-06-21,0.3988333333333332
2021-06-22,0.3522833333333332
2021-06-23,0.38434666666666656
2021-06-24,0.39469999999999994
2021-06-25,0.4188233333333332
2021-06-26,0.09256
2021-06-27,0.21776
2021-06-28,0.22422666666666669
2021-06-29,0.3837933333333334
2021-06-30,0.4630633333333333
2021-07-01,0.40042666666666665
2021-07-02,0.35979333333333335
2021-07-03,0.04700333333333336
2021-07-04,0.15688
2021-07-05,0.46300666666666673
2021-07-06,0.34203999999999996
2021-07-07,0.41391000000000006
2021-07-08,0.3853933333333332
2021-07-09,0.2674933333333333
2021-07-10,0.2136833333333334
2021-07-11,0.30917000000000006
2021-07-12,0.4209399999999999
2021-07-13,0.37782
2021-07-14,0.37489666666666666
2021-07-15,0.37478999999999985
2021-07-16,0.44534000000000007
2021-07-17,0.26782333333333336
2021-07-18,0.17135666666666666
2021-07-19,0.4110399999999999
2021-07-20,0.16618000000000002
2021-07-21,0.35648
2021-07-22,0.4747533333333333
2021-07-23,0.5976266666666668
2021-07-24,0.08366
